ptg000007l_1_1_1	KX091862.1	79.605	14072	2390	359	96850535	96864288	660	14569	0.0	9644
ptg000007l_1_1_1	KX091862.1	79.689	11516	2049	216	55674633	55685991	1	11383	0.0	8041
ptg000007l_1_1_1	KX091862.1	80.232	9844	1622	251	55658112	55667761	4158	13871	0.0	7099
ptg000007l_1_1_1	KX091862.1	79.947	1521	251	48	18936616	18938108	12469	10975	0.0	1070
ptg000007l_1_1_1	KX091862.1	86.044	824	91	21	18935521	18936327	13288	12472	0.0	863
ptg000007l_1_1_1	KX091862.1	80.473	973	131	44	63045201	63046146	13652	14592	0.0	689
ptg000007l_1_1_1	KX091862.1	81.234	778	95	35	55669097	55669845	13869	14624	3.26e-163	580
ptg000007l_1_1_1	KX091862.1	81.900	558	91	8	96849938	96850491	1	552	1.23e-127	462
ptg000007l_1_1_1	KX091862.1	83.793	290	43	3	96013964	96014251	6004	5717	2.23e-70	272
ptg000007l_1_1_1	KX091862.1	88.263	213	21	2	34931630	34931841	3572	3781	2.90e-64	252
ptg000007l_1_1_1	KX091862.1	87.027	185	18	5	94409519	94409700	5993	5812	8.24e-50	204
ptg000007l_1_1_1	KX091862.1	86.022	186	25	1	59942215	59942400	10717	10901	3.83e-48	198
ptg000007l_1_1_1	KX091862.1	94.118	85	3	2	6830632	6830714	12494	12578	5.10e-27	128
ptg000007l_1_1_1	KX091862.1	82.895	152	17	9	92356071	92356217	14338	14191	5.10e-27	128
ptg000007l_1_1_1	KX091862.1	90.110	91	7	1	51187889	51187977	5891	5801	1.10e-23	117
ptg000007l_1_1_1	KX091862.1	87.500	96	8	2	37876894	37876985	13091	12996	6.65e-21	108
ptg000007l_1_1_1	KX091862.1	98.148	54	1	0	137724831	137724884	13834	13887	5.17e-17	95.3
ptg000007l_1_1_1	KX091862.1	85.227	88	8	3	60856299	60856382	7005	7091	3.11e-14	86.1
ptg000007l_1_1_1	KX091862.1	87.143	70	8	1	104963308	104963376	10757	10688	5.21e-12	78.7
ptg000007l_1_1_1	KX091862.1	100.000	34	0	0	7818351	7818384	1	34	1.46e-07	63.9
ptg000007l_1_1_1	KX091862.1	95.122	41	0	2	66150001	66150040	12635	12596	1.46e-07	63.9
ptg000007l_1_1_1	KX091862.1	100.000	31	0	0	113890311	113890341	31	1	6.79e-06	58.4
